Year,GLD,WTI,BRENT,CPER,KOL,SP500,CPI,EPU,UST10Y,USDINR
01-12-2011,169.6300049,100.1999969,108.9899979,25.20000076,364.7000122,1244.579956,225.672,115.59,2.11,51.36
01-02-2012,169.5599976,97.61000061,111.5599976,27.29999924,354.5,1324.089966,227.663,123.13,1.87,49.2738
01-03-2012,166.6100006,108.8399963,126.1999969,27.71999931,350.2999878,1374.089966,229.392,91.38,2.03,49.14
01-05-2012,161.3200073,106.1600037,119.6600037,27.02000046,316.8999939,1405.819946,229.815,91.67,1.98,52.5
01-06-2012,157.5,83.23000336,98.43000031,23.37999916,243.5,1278.040039,229.478,169.4,1.47,55.44
01-08-2012,155.1399994,88.91000366,105.9599991,24.20000076,235,1375.319946,230.379,138.78,1.56,55.47
01-10-2012,172.2899933,92.48000336,112.1900024,25.87999916,235,1444.48999,231.317,178.17,1.64,52.46
01-11-2012,166.0700073,87.08999634,108.1699982,24.84000015,259.1000061,1427.589966,230.221,196.81,1.75,53.76
01-02-2013,161.4499969,97.76999664,116.7600021,26.37999916,252.6999969,1513.170044,232.166,124.41,2.04,53.16
01-03-2013,152.4400024,90.68000031,110.4000015,24.43000031,233.3000031,1518.199951,232.773,324.04,1.86,54.9
01-04-2013,154.6699982,97.06999969,111.0800018,24.01000023,224.6999969,1562.170044,232.531,104.12,1.86,54.28
01-05-2013,141.1100006,91.02999878,99.94999695,21.17000008,214,1582.699951,232.945,74.13,1.66,53.65
01-07-2013,121.1299973,97.98999786,103,21.61000061,176.8000031,1614.959961,233.596,78.43,2.5,59.38
01-08-2013,126.6100006,107.8899994,109.5400009,21.71999931,179.6999969,1706.869995,233.877,92.95,2.74,60.45
01-10-2013,124.5899963,102.0400009,107.9400024,22.44000053,190.8000031,1695,233.546,271.77,2.66,62.46
01-11-2013,126.9499969,94.61000061,105.9100037,22.51000023,200.3999939,1761.640015,233.069,45.43,2.65,61.84
01-04-2014,123.3899994,99.73999786,105.6200027,20.59000015,185,1885.52002,237.072,78.62,2.77,59.86
01-05-2014,123.8000031,99.41999817,107.7600021,20.45000076,190.6999969,1883.680054,237.9,70.5,2.63,60.11
01-07-2014,127.6999969,105.3399963,112.2900009,21.60000038,187.1999969,1973.319946,238.25,94.53,2.58,60.05
01-08-2014,124.3799973,97.87999725,104.8399963,21.80999947,188.5,1925.150024,237.852,53.1,2.52,61.2
01-10-2014,116.7699966,90.73000336,94.16000366,20.29999924,169.1000061,1946.160034,237.433,58.82,2.42,61.71
01-12-2014,116.5800018,69,72.54000092,19.42000008,156.8500061,2053.439941,234.812,37.22,2.22,61.94
01-04-2015,115.5999985,50.09000015,57.09999847,18.43000031,132.8999939,2059.689941,236.599,85.27,1.87,62.14
01-05-2015,113.0800018,59.15000153,66.45999908,19.85000038,136.8999939,2108.290039,237.805,37.85,2.12,63.63
01-06-2015,114,60.20000076,64.87999725,18.5,126.0999985,2111.72998,238.638,33.34,2.19,63.59
01-07-2015,111.9800034,56.95999908,62.00999832,17.80999947,112.3000031,2077.419922,238.654,90.8,2.43,63.55
01-09-2015,109.1999969,45.40999985,49.56000137,15.43999958,89.09999847,1913.849976,237.945,92.72,2.17,66.34
01-10-2015,106.7300034,44.74000168,47.68999863,15.36999989,79,1923.819946,237.838,69.02,2.05,65.57
01-12-2015,102.2799988,41.84999847,44.43999863,13.77999973,74.5,2102.629883,236.525,48.27,2.15,66.46
