Year,GLD,WTI,BRENT,KOL,EPU,USDINR
01-12-2011,169.6300049,100.1999969,108.9899979,364.7000122,115.59,51.36
01-02-2012,169.5599976,97.61000061,111.5599976,354.5,123.13,49.2738
01-03-2012,166.6100006,108.8399963,126.1999969,350.2999878,91.38,49.14
01-05-2012,161.3200073,106.1600037,119.6600037,316.8999939,91.67,52.5
01-06-2012,157.5,83.23000336,98.43000031,243.5,169.4,55.44
01-08-2012,155.1399994,88.91000366,105.9599991,235,138.78,55.47
01-10-2012,172.2899933,92.48000336,112.1900024,235,178.17,52.46
01-11-2012,166.0700073,87.08999634,108.1699982,259.1000061,196.81,53.76
01-02-2013,161.4499969,97.76999664,116.7600021,252.6999969,124.41,53.16
01-03-2013,152.4400024,90.68000031,110.4000015,233.3000031,324.04,54.9
01-04-2013,154.6699982,97.06999969,111.0800018,224.6999969,104.12,54.28
01-05-2013,141.1100006,91.02999878,99.94999695,214,74.13,53.65
01-07-2013,121.1299973,97.98999786,103,176.8000031,78.43,59.38
01-08-2013,126.6100006,107.8899994,109.5400009,179.6999969,92.95,60.45
01-10-2013,124.5899963,102.0400009,107.9400024,190.8000031,271.77,62.46
01-11-2013,126.9499969,94.61000061,105.9100037,200.3999939,45.43,61.84
01-04-2014,123.3899994,99.73999786,105.6200027,185,78.62,59.86
01-05-2014,123.8000031,99.41999817,107.7600021,190.6999969,70.5,60.11
01-07-2014,127.6999969,105.3399963,112.2900009,187.1999969,94.53,60.05
01-08-2014,124.3799973,97.87999725,104.8399963,188.5,53.1,61.2
01-10-2014,116.7699966,90.73000336,94.16000366,169.1000061,58.82,61.71
01-12-2014,116.5800018,69,72.54000092,156.8500061,37.22,61.94
01-04-2015,115.5999985,50.09000015,57.09999847,132.8999939,85.27,62.14
01-05-2015,113.0800018,59.15000153,66.45999908,136.8999939,37.85,63.63
01-06-2015,114,60.20000076,64.87999725,126.0999985,33.34,63.59
01-07-2015,111.9800034,56.95999908,62.00999832,112.3000031,90.8,63.55
01-09-2015,109.1999969,45.40999985,49.56000137,89.09999847,92.72,66.34
01-10-2015,106.7300034,44.74000168,47.68999863,79,69.02,65.57
01-12-2015,102.2799988,41.84999847,44.43999863,74.5,48.27,66.46
01-02-2016,108.0500031,31.62000084,34.68999863,58.90000153,183.2,67.92
01-03-2016,117.7699966,34.40000153,35.95999908,67.69999695,49.35,67.75
01-04-2016,116.9300003,36.79000092,39.65999985,75.30000305,30.46,66.34
01-06-2016,115.9400024,49.00999832,49.70999908,79.80000305,48.39,67.44
01-07-2016,128.4100037,48.99000168,49.84000015,94.69999695,108.22,67.24
01-08-2016,129.2200012,40.06000137,42.45000076,105.5,74.99,66.63
01-09-2016,125.2900009,43.15999985,47.04999924,105.5999985,38.52,66.85
01-11-2016,122.7300034,46.66999817,48.33000183,134.1000061,44.68,66.7
01-12-2016,111.5400009,51.06000137,50.45999908,130.6000061,167.88,68.29
01-02-2017,115.1999969,53.88000107,55.65999985,132.3000031,158.28,67.4
01-03-2017,119.0599976,53.83000183,55.59999847,134.1000061,111.9,66.83
01-05-2017,119.6699982,48.84000015,51.52000046,137.3000031,97.49,64.25
01-06-2017,120.7200012,48.36000061,50.33000183,127.6999969,100.04,64.39
01-08-2017,120.6500015,49.15999985,52.63000107,146.3999939,70.77,64.06
01-09-2017,126.0599976,47.29000092,52.31999969,154.3999939,57.53,64.02
01-11-2017,121.1100006,54.29999924,61.29000092,151.5,66.7,64.56
01-12-2017,121.5899963,58.36000061,63.49000168,154.3000031,86.95,64.5
01-02-2018,128.0700073,65.80000305,69.08000183,180.6000061,49.78,63.97
01-03-2018,124.7200012,60.99000168,65.70999908,171.8000031,69.3,65.2
01-05-2018,123.7099991,67.25,75.16999817,152.1999969,101.87,66.52
01-06-2018,122.4899979,65.80999756,77.58999634,169.1999969,109.62,66.99
01-08-2018,115.1399994,67.66000366,74.25,163,57.71,68.37
01-10-2018,112.5699997,75.30000305,84.98000336,156.3000031,166.69,72.92
01-11-2018,116.6299973,63.68999863,75.5,151.1000061,84.17,73.45
01-02-2019,124.5,55.25999832,61.86999893,141.1999969,95.81,71.41
01-03-2019,121.8799973,55.79999924,65.06999969,137.8999939,110.76,70.9
01-04-2019,121.5299988,61.59000015,69.01000214,137.6999969,117.34,69.18
01-05-2019,120.4000015,63.59999847,72.18000031,134.2449951,112.75,69.52
01-07-2019,130.6199951,59.09000015,65.05999756,134,174.62,68.87
01-08-2019,136.4100037,53.95000076,60.5,117.8000031,150.2,69
01-10-2019,139.6300049,53.61999893,58.88999939,107.4059982,65.08,71.11
01-11-2019,142.5599976,56.20000076,61.68999863,110.3000031,35.14,70.76
01-04-2020,149.4499969,20.30999947,24.73999977,60.79999924,474.81,76.4
01-05-2020,159.7799988,19.78000069,26.44000053,62.18000031,516.72,75.75
01-06-2020,163.6600037,35.43999863,38.31999969,71.15000153,226.8,75.56
01-07-2020,166.6199951,39.81999969,42.02999878,71.4835968,329.62,75.5
01-09-2020,185.0500031,42.75999832,45.58000183,75,204.69,73
01-10-2020,178.6999969,38.72000122,40.93000031,78.74169922,259.5,73.18
01-12-2020,170.1799927,44.54999924,47.41999817,92.01049805,248.2,73.51
