SUMMARY STATISTICS,,,,,,
,,,,,,
Descriptive Statistics,GLD,WTI,BRENT,KOL,EPU,USDINR
,,,,,,
Mean,132.7471,65.1012,71.8837,154.7922,122.4529,64.4399
Standard Error,2.5406,2.9061,3.3292,8.5026,11.4421,0.8206
Median,124.4400,58.7250,64.9700,139.5500,93.74,65.385
Mode,#N/A,#N/A,#N/A,235,#N/A,66.34
Standard Deviation,20.9504,23.9646,27.4532,70.1144,94.3541,6.7668
Sample Variance,438.9212,574.3043,753.6786,4916.0330,8902.6999,45.7894
Kurtosis,-0.4636,-1.0237,-1.1642,1.4621,6.1503,-0.3158
Skewness,0.8958,0.3522,0.3798,1.1387,2.2639,-0.4643
Range,82.7700,89.0600,101.4600,305.8000,486.26,27.26
Minimum,102.2800,19.7800,24.7400,58.9000,30.46,49.14
Maximum,185.0500,108.8400,126.2000,364.7000,516.72,76.4
Sum,9026.8000,4426.8800,4888.09,10525.86679,8326.8,4381.9138
Count,68,68,68,68,68,68
